apiname;Descripcion;Provider;Product;Mem (GB);vCPU;ECU/GECU;CPU (GHz);bits;Storage (GB);I/O Perf;EBS-Optimized (Mbps)
TM-1VPU-0.5G;;Terremark;vCloud Express;0.5;1;;2.9;;1;;
TM-1VPU-1.0G;;Terremark;vCloud Express;1;1;;2.9;;1;;
TM-1VPU-1.5G;;Terremark;vCloud Express;1.5;1;;2.9;;1;;
TM-1VPU-2.0G;;Terremark;vCloud Express;2;1;;2.9;;1;;
TM-1VPU-4.0G;;Terremark;vCloud Express;4;1;;2.9;;1;;
TM-1VPU-8.0G;;Terremark;vCloud Express;8;1;;2.9;;1;;
TM-1VPU-12.0G;;Terremark;vCloud Express;12;1;;2.9;;1;;
TM-1VPU-16.0G;;Terremark;vCloud Express;16;1;;2.9;;1;;
TM-2VPU-0.5G;;Terremark;vCloud Express;0.5;2;;5.8;;1;;
TM-2VPU-1.0G;;Terremark;vCloud Express;1;2;;5.8;;1;;
TM-2VPU-1.5G;;Terremark;vCloud Express;1.5;2;;5.8;;1;;
TM-2VPU-2.0G;;Terremark;vCloud Express;2;2;;5.8;;1;;
TM-2VPU-4.0G;;Terremark;vCloud Express;4;2;;5.8;;1;;
TM-2VPU-8.0G;;Terremark;vCloud Express;8;2;;5.8;;1;;
TM-2VPU-12.0G;;Terremark;vCloud Express;12;2;;5.8;;1;;
TM-2VPU-16.0G;;Terremark;vCloud Express;16;2;;5.8;;1;;
TM-4VPU-0.5G;;Terremark;vCloud Express;0.5;4;;11.6;;1;;
TM-4VPU-1.0G;;Terremark;vCloud Express;1;4;;11.6;;1;;
TM-4VPU-1.5G;;Terremark;vCloud Express;1.5;4;;11.6;;1;;
TM-4VPU-2.0G;;Terremark;vCloud Express;2;4;;11.6;;1;;
TM-4VPU-4.0G;;Terremark;vCloud Express;4;4;;11.6;;1;;
TM-4VPU-8.0G;;Terremark;vCloud Express;8;4;;11.6;;1;;
TM-4VPU-12.0G;;Terremark;vCloud Express;12;4;;11.6;;1;;
TM-4VPU-16.0G;;Terremark;vCloud Express;16;4;;11.6;;1;;
TM-8VPU-0.5G;;Terremark;vCloud Express;0.5;8;;23.2;;1;;
TM-8VPU-1.0G;;Terremark;vCloud Express;1;8;;23.2;;1;;
TM-8VPU-1.5G;;Terremark;vCloud Express;1.5;8;;23.2;;1;;
TM-8VPU-2.0G;;Terremark;vCloud Express;2;8;;23.2;;1;;
TM-8VPU-4.0G;;Terremark;vCloud Express;4;8;;23.2;;1;;
TM-8VPU-8.0G;;Terremark;vCloud Express;8;8;;23.2;;1;;
TM-8VPU-12.0G;;Terremark;vCloud Express;12;8;;23.2;;1;;
TM-8VPU-16.0G;;Terremark;vCloud Express;16;8;;23.2;;1;;
TM-1VPU-0.5G;;Terremark;vCloud Express;0.5;1;;2.9;;1;;
TM-1VPU-1.0G;;Terremark;vCloud Express;1;1;;2.9;;1;;
TM-1VPU-1.5G;;Terremark;vCloud Express;1.5;1;;2.9;;1;;
TM-1VPU-2.0G;;Terremark;vCloud Express;2;1;;2.9;;1;;
TM-1VPU-4.0G;;Terremark;vCloud Express;4;1;;2.9;;1;;
TM-1VPU-8.0G;;Terremark;vCloud Express;8;1;;2.9;;1;;
TM-1VPU-12.0G;;Terremark;vCloud Express;12;1;;2.9;;1;;
TM-1VPU-16.0G;;Terremark;vCloud Express;16;1;;2.9;;1;;
TM-2VPU-0.5G;;Terremark;vCloud Express;0.5;2;;5.8;;1;;
TM-2VPU-1.0G;;Terremark;vCloud Express;1;2;;5.8;;1;;
TM-2VPU-1.5G;;Terremark;vCloud Express;1.5;2;;5.8;;1;;
TM-2VPU-2.0G;;Terremark;vCloud Express;2;2;;5.8;;1;;
TM-2VPU-4.0G;;Terremark;vCloud Express;4;2;;5.8;;1;;
TM-2VPU-8.0G;;Terremark;vCloud Express;8;2;;5.8;;1;;
TM-2VPU-12.0G;;Terremark;vCloud Express;12;2;;5.8;;1;;
TM-2VPU-16.0G;;Terremark;vCloud Express;16;2;;5.8;;1;;
TM-4VPU-0.5G;;Terremark;vCloud Express;0.5;4;;11.6;;1;;
TM-4VPU-1.0G;;Terremark;vCloud Express;1;4;;11.6;;1;;
TM-4VPU-1.5G;;Terremark;vCloud Express;1.5;4;;11.6;;1;;
TM-4VPU-2.0G;;Terremark;vCloud Express;2;4;;11.6;;1;;
TM-4VPU-4.0G;;Terremark;vCloud Express;4;4;;11.6;;1;;
TM-4VPU-8.0G;;Terremark;vCloud Express;8;4;;11.6;;1;;
TM-4VPU-12.0G;;Terremark;vCloud Express;12;4;;11.6;;1;;
TM-4VPU-16.0G;;Terremark;vCloud Express;16;4;;11.6;;1;;
TM-8VPU-0.5G;;Terremark;vCloud Express;0.5;8;;23.2;;1;;
TM-8VPU-1.0G;;Terremark;vCloud Express;1;8;;23.2;;1;;
TM-8VPU-1.5G;;Terremark;vCloud Express;1.5;8;;23.2;;1;;
TM-8VPU-2.0G;;Terremark;vCloud Express;2;8;;23.2;;1;;
TM-8VPU-4.0G;;Terremark;vCloud Express;4;8;;23.2;;1;;
TM-8VPU-8.0G;;Terremark;vCloud Express;8;8;;23.2;;1;;
TM-8VPU-12.0G;;Terremark;vCloud Express;12;8;;23.2;;1;;
TM-8VPU-16.0G;;Terremark;vCloud Express;16;8;;23.2;;1;;
